Subject,Start Date,End Date,All Day Event,Description,Location
Classes/Term Begin,05/13/2024,05/13/2024,True,,
Classes/Term Begin,08/19/2024,08/19/2024,True,,
Classes/Term Begin,12/16/2024,12/16/2024,True,,
Classes/Term Begin,01/13/2025,01/13/2025,True,,
Classes/Term Begin,05/19/2025,05/19/2025,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/07/2024,06/07/2024,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/13/2024,09/13/2024,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/07/2025,02/07/2025,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/13/2025,06/13/2025,True,,
Classes End,08/02/2024,08/02/2024,True,,
Classes End,12/07/2024,12/07/2024,True,,
Classes End,01/03/2025,01/03/2025,True,,
Classes End,05/03/2025,05/03/2025,True,,
Classes End,08/08/2025,08/08/2025,True,,
Final Exams,12/09/2024,12/15/2024,True,,
Final Exams,05/05/2025,05/11/2025,True,,
Term Ends,08/02/2024,08/02/2024,True,,
Term Ends,12/14/2024,12/14/2024,True,,
Term Ends,05/10/2025,05/10/2025,True,,
Term Ends,08/08/2025,08/08/2025,True,,
Commencements,08/03/2024,08/03/2024,True,,
Commencements,12/15/2024,12/15/2024,True,,
Commencements,05/16/2025,05/19/2025,True,,
Commencements,08/09/2025,08/09/2025,True,,
Fall Break,10/07/2024,10/09/2024,True,,
Spring Break,03/17/2025,03/23/2025,True,,
Juneteenth - Class in Session,06/19/2024,06/19/2024,True,,
Juneteenth - Class in Session,06/19/2025,06/19/2025,True,,
Thanksgiving Break,11/27/2024,12/01/2024,True,,
Memorial Day - University Closed,05/27/2024,05/27/2024,True,,
Memorial Day - University Closed,05/26/2025,05/26/2025,True,,
Fourth of July - University Closed,07/04/2024,07/04/2024,True,,
Fourth of July - University Closed,07/04/2025,07/04/2025,True,,
Labor Day - University Closed,09/02/2024,09/02/2024,True,,
MLK Day - University Closed,01/20/2025,01/20/2025,True,,
President’s Designated Holiday,12/23/2024,12/23/2024,True,,
Christmas Holiday - University Closed,12/24/2025,12/24/2025,True,,
New Year’s Day - University Closed,01/01/2025,01/01/2025,True,,
Classes/Term Begin,08/25/2025,08/25/2025,True,,
Classes/Term Begin,12/22/2025,12/22/2025,True,,
Classes/Term Begin,01/12/2026,01/12/2026,True,,
Classes/Term Begin,05/18/2026,05/18/2026,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/19/2025,09/19/2025,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/06/2026,02/06/2026,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/12/2026,06/12/2026,True,,
Classes End,12/13/2025,12/13/2025,True,,
Classes End,01/09/2026,01/09/2026,True,,
Classes End,05/02/2026,05/02/2026,True,,
Classes End,08/07/2026,08/07/2026,True,,
Final Exams,12/15/2025,12/21/2025,True,,
Final Exams,05/04/2026,05/10/2026,True,,
Term Ends,12/20/2025,12/20/2025,True,,
Term Ends,01/09/2026,01/09/2026,True,,
Term Ends,05/09/2026,05/09/2026,True,,
Term Ends,08/07/2026,08/07/2026,True,,
Commencements,12/21/2025,12/21/2025,True,,
Commencements,05/15/2026,05/18/2026,True,,
Commencements,08/08/2026,08/08/2026,True,,
Fall Break,10/13/2025,10/15/2025,True,,
Spring Break,03/16/2026,03/22/2026,True,,
Juneteenth - Class in Session,06/19/2026,06/19/2026,True,,
Thanksgiving Break,11/26/2025,11/30/2025,True,,
Winter Recess,12/26/2025,01/01/2026,True,,
Memorial Day - University Closed,05/25/2026,05/25/2026,True,,
Fourth of July - University Closed,07/03/2026,07/03/2026,True,,
Labor Day - University Closed,09/01/2025,09/01/2025,True,,
MLK Day - University Closed,01/19/2026,01/19/2026,True,,
President’s Designated Holiday,01/02/2026,01/02/2026,True,,
New Year’s Day - University Closed,01/01/2026,01/01/2026,True,,
Classes/Term Begin,08/24/2026,08/24/2026,True,,
Classes/Term Begin,12/21/2026,12/21/2026,True,,
Classes/Term Begin,01/11/2027,01/11/2027,True,,
Classes/Term Begin,05/17/2027,05/17/2027,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/18/2026,09/18/2026,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/05/2027,02/05/2027,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/11/2027,06/11/2027,True,,
Classes End,12/12/2026,12/12/2026,True,,
Classes End,01/08/2027,01/08/2027,True,,
Classes End,05/01/2027,05/01/2027,True,,
Classes End,08/06/2027,08/06/2027,True,,
Final Exams,12/14/2026,12/20/2026,True,,
Final Exams,05/03/2027,05/09/2027,True,,
Term Ends,12/19/2026,12/19/2026,True,,
Term Ends,01/08/2027,01/08/2027,True,,
Term Ends,05/08/2027,05/08/2027,True,,
Term Ends,08/06/2027,08/06/2027,True,,
Commencements,12/20/2026,12/20/2026,True,,
Commencements,05/14/2027,05/17/2027,True,,
Commencements,08/07/2027,08/07/2027,True,,
Fall Break,10/12/2026,10/14/2026,True,,
Spring Break,03/15/2027,03/21/2027,True,,
Juneteenth - Class in Session,06/19/2027,06/19/2027,True,,
Thanksgiving Break,11/25/2026,11/29/2026,True,,
Memorial Day - University Closed,05/31/2027,05/31/2027,True,,
Fourth of July - University Closed,07/05/2027,07/05/2027,True,,
Labor Day - University Closed,09/07/2026,09/07/2026,True,,
MLK Day - University Closed,01/18/2027,01/18/2027,True,,
